PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
10;2;837.0;Soltero;8104.128694;51708.0671;0
24;2;692.0;Soltero;125552.9515;164360.2274;0
48;8;772.0;Soltero;79714.71031000001;223712.5318;0
48;7;688.0;Soltero;65019.331360000004;228219.7161;0
24;1;736.0;Soltero;283612.7036;296761.5218;0
36;2;592.0;Soltero;16953.46462;88493.3593;0
33;1;;Soltero;39355.14335;142445.5305;0
24;6;;Soltero;39171.73609;147347.3869;0
18;5;642.0;Soltero;43700.0;162500.0;0
48;6;682.0;Soltero;107841.9008;163530.7512;0
24;4;664.0;Soltero;94726.30639;169974.4586;0
12;1;884.0;CASADO;337845.6925;327061.5024;0
24;2;782.0;Soltero;13972.635680000001;95013.92262;0
13;1;791.0;CASADO;28586.97925;44055.27623;0
12;3;666.0;Soltero;54517.27646;166792.3668;0
8;1;871.0;Soltero;29793.60125;75109.91911;0
36;3;610.0;DIVORCIADO;136400.0;221000.0;0
24;2;850.0;CASADO;86471.74188;91311.23747000001;0
15;2;;Soltero;34800.0;160000.0;0
48;1;714.0;Soltero;22800.0;56000.0;0
12;1;860.0;Soltero;9104.685066;150271.5011;0
7;6;651.0;Soltero;12966.19572;132949.1618;0
11;1;;Soltero;6431.466001;198456.6652;0
15;2;638.0;Soltero;34300.19639;75109.91911;0
36;2;943.0;CASADO;175775.7568;447124.3417;0
12;1;718.0;Soltero;37446.66362;83835.81408;0
14;1;;Soltero;14296.488580000001;247805.8021;0
12;1;;Soltero;11178.108540000001;111781.0854;0
48;5;658.0;CASADO;74313.0659;188030.8598;0
18;1;589.0;CASADO;106471.4839;290630.8221;0
25;1;628.0;Soltero;42551.036660000005;163812.36;0
36;1;545.0;Soltero;18135.063009999998;77074.01777;0
36;5;;Soltero;85271.43467;77341.48494;0
17;1;794.0;Soltero;44241.25815;48298.31676;0
16;2;701.0;CASADO;34184.59377;54405.189020000005;0
24;1;389.0;Soltero;63382.0452;106090.1186;0
26;2;;DIVORCIADO;167420.1312;220987.5016;0
24;1;;Soltero;327337.8873;395344.3735;0
48;3;279.0;Soltero;70627.60551000001;132592.501;0
24;1;;CASADO;92195.98567000001;74251.80054;0
16;1;906.0;Soltero;12127.90732;114663.851;0
48;1;736.0;Soltero;19753.93482;66716.94672;0
12;3;624.0;Soltero;93079.93568;159111.0012;0
18;3;738.0;Soltero;39424.170289999995;67180.20049;0
24;1;631.0;Soltero;15300.0;67600.0;0
48;1;363.0;Soltero;25787.7389;62090.86647000001;0
18;2;551.0;Soltero;130753.8043;293788.0207;0
45;2;651.0;Soltero;90398.1251;160349.8379;0
8;1;796.0;Soltero;47317.21415;170893.2395;0
12;1;781.0;CASADO;99397.93587999999;243423.5165;0
12;1;;CASADO;35802.39478;70920.45473;0
36;2;648.0;Soltero;159580.9732;137045.0659;0
8;6;763.0;CASADO;76000.0;301000.0;0
24;3;873.0;Soltero;52863.708660000004;136012.9725;0
18;3;621.0;CASADO;98894.72683;137701.5184;0
6;2;;CASADO;88893.75738;161536.0129;0
32;2;733.0;Soltero;29103.907000000003;122628.8216;0
43;2;443.0;Soltero;39943.45045;140976.884;0
24;2;;Soltero;49705.54903;80117.49679;0
12;1;693.0;Soltero;34388.40153;94664.70083999999;0
48;5;881.0;DIVORCIADO;75485.45972;223025.2219;0
12;2;850.0;Soltero;10712.35402;158356.5377;0
36;2;810.0;CASADO;94888.86447999999;86793.68431;0
30;6;583.0;CASADO;95200.0;140000.0;0
18;7;658.0;CASADO;109079.4308;123753.0009;0
24;1;;CASADO;79691.09968;253562.5899;0
12;4;694.0;CASADO;88182.49753;155768.8867;0
36;2;923.0;Soltero;11505.21592;136510.3;0
18;1;918.0;CASADO;69646.17276;80368.39907999999;0
15;3;926.0;Soltero;8846.279362000001;108492.1054;0
48;2;14.0;DIVORCIADO;130647.811;159111.0012;0
24;3;882.0;CASADO;174226.5409;285929.7717;0
36;4;390.0;CASADO;12053.08335;131488.182;0
24;3;796.0;CASADO;53234.45145;131488.182;0
36;1;481.0;Soltero;110509.3713;341480.015;0
18;1;688.0;Soltero;90728.98101;223562.1709;0
18;6;860.0;CASADO;69770.02749;83466.93649;0
18;1;539.0;Soltero;95119.30404;237893.57;0
18;2;304.0;Soltero;20545.028430000002;82910.60362000001;0
36;1;;CASADO;52595.27278;109573.485;0
16;2;;Soltero;28290.698289999997;87048.30243;0
18;3;718.0;Soltero;28215.17238;146097.98;0
21;2;;CASADO;36223.22713;56390.75358;0
36;3;777.0;CASADO;39224.068869999996;78114.31588;0
24;1;683.0;Soltero;25620.82796;91801.01225;0
18;4;;CASADO;111182.7252;89834.86917;0
36;1;810.0;Soltero;45939.04287;154018.9102;0
36;2;343.0;Soltero;146263.5171;234961.4732;0
32;1;508.0;Soltero;56586.55481;139997.8778;0
9;1;648.0;CASADO;10265.02228;7093.714583;0
